"Id","658342e59700bdb5e7119b4b","658342e59700bdb5e7119b45","658342e59700bdb5e7119b47","658342e59700bdb5e7119b49","658c8e423bcbd8a985918ad0"
"Timestamp","dayt13/Digital Test Bed/(B)Location (1A36F8)/JTS File Source/Battery Voltage","dayt13/Digital Test Bed/(B)Location (1A36F8)/JTS File Source/Crack Displacement","dayt13/Digital Test Bed/(B)Location (1A36F8)/JTS File Source/Crack.X","dayt13/Digital Test Bed/(B)Location (1A36F8)/JTS File Source/Crack.Y","dayt13/Digital Test Bed/(B)Location (1A36F8)/JTS File Source/RSSI"
"Units","","","","",""
2023-12-20 14:39:16,0,-20.9,-2.5,-29.2,
2023-12-20 14:52:08,,-21,-1.3,-28.7,
2023-12-20 15:37:07,0,-9.7,-0.8,-28.7,
2023-12-20 15:52:07,,-9.7,-0.8,-28.7,
2023-12-20 16:07:07,0,-9.7,-0.8,-28.7,
2023-12-20 16:22:06,,-9.7,-0.8,-28.7,
2023-12-20 16:37:06,0,-9.7,-0.8,-28.7,
2023-12-20 16:52:06,,-9.7,-0.8,-28.7,
2023-12-20 17:07:06,0,-9.7,-0.8,-28.7,
2023-12-20 17:22:06,,-9.7,-0.8,-28.7,
2023-12-20 17:37:06,0,-9.7,-0.8,-28.7,
2023-12-21 14:54:39,0,-10,-0.8,-28.7,
2023-12-22 15:30:05,0,-10.5,-1,-29,
2023-12-22 16:15:04,,-10.6,-1,-29,
2023-12-22 16:45:04,,-10.5,-1,-29,
2023-12-22 17:00:04,3.3,-10.6,-1,-29,
2023-12-22 17:15:04,,-10.6,-1,-29,
2023-12-22 18:00:03,3.4,-10.6,-1,-29,
2023-12-22 18:15:03,,-10.5,-1,-29,
2023-12-22 19:15:02,,-10.6,-1.1,-29,
2023-12-22 19:45:02,,-10.6,-1,-29,
2023-12-22 20:15:02,,-10.6,-1,-29,
2023-12-22 20:30:02,3.4,-10.6,-1.1,-29,
2023-12-22 20:45:02,,-10.5,-1,-29,
2023-12-22 21:00:02,3.4,-10.6,-1.1,-29,
2023-12-22 21:15:02,,-10.6,-1,-29,
2023-12-22 21:30:01,3.4,-10.6,-1,-29,
2023-12-22 21:45:01,,-10.6,-1,-29,
2023-12-22 22:00:01,3.4,-10.6,-1.1,-29,
2023-12-22 22:15:01,,-10.5,-1,-29,
2023-12-22 22:30:01,3.3,-10.5,-1,-29,
2023-12-22 22:45:01,,-10.5,-1.1,-29,
2023-12-22 23:00:00,3.3,-10.5,-1,-29,
2023-12-22 23:30:00,3.3,-10.5,-1,-29,
2023-12-22 23:45:00,,-10.5,-1.1,-29,
2023-12-23 00:00:00,3.3,-10.5,-1.1,-29,
2023-12-23 00:15:00,,-10.5,-1.1,-29,
2023-12-23 00:29:59,3.3,-10.5,-1,-29,
2023-12-23 00:44:59,,-10.5,-1,-29,
2023-12-23 00:59:59,3.3,-10.5,-1,-29,
2023-12-23 01:14:59,,-10.5,-1.1,-29,
2023-12-23 01:29:59,3.3,-10.5,-1.1,-29,
2023-12-23 01:44:59,,-10.5,-1.1,-29,
2023-12-23 01:59:58,3.3,-10.5,-1,-29,
2023-12-23 02:14:58,,-10.5,-1.1,-29,
2023-12-23 02:29:58,3.3,-10.5,-1,-29,
2023-12-23 02:59:58,3.3,-10.5,-1.1,-29,
2023-12-23 03:14:58,,-10.5,-1,-29,
2023-12-23 03:44:57,,-10.5,-1,-29,
2023-12-23 03:59:57,3.3,-10.5,-1.1,-29,
2023-12-23 04:14:57,,-10.5,-1.1,-29,
2023-12-23 04:44:57,,-10.5,-1,-29,
